element,id,operator,railway,railway:signal:combined,railway:signal:direction,railway:signal:position,ref,description,note,geometry
node,63279448,,signal,DE-ESO:ks,forward,right,3019,Unknown,Unknown,POINT (13.2676588 52.4937272)
node,78510425,,signal,,backward,left,,Unknown,irgendwo hier wird die Geschwindigkeit erst auf 110 und dann auf 100 beschränkt,POINT (13.2549208 52.5123151)
node,78529431,DB InfraGO AG,signal,DE-ESO:ks,forward,right,3422,Unknown,Unknown,POINT (13.2640448 52.5049623)
node,78529521,DB InfraGO AG,signal,DE-ESO:ks,forward,right,3418,Unknown,Unknown,POINT (13.2662302 52.5008889)
node,78529524,DB InfraGO AG,signal,DE-ESO:ks,forward,right,3416,Unknown,Unknown,POINT (13.2675875 52.499779)
node,78529564,,signal,,forward,right,,Unknown,Unknown,POINT (13.2725148 52.4981122)
node,78529570,DB Netz AG,signal,DE-ESO:ks,forward,left,3412,"Ks-Mehrabschnittssignal, mit variablem Geschwindigkeitsvoranzeiger (Zs3v) und Geschwindigkeitsanzeiger (Zs3), in südöstlicher Richtung",Unknown,POINT (13.2714461 52.4983482)
node,81421158,,signal,DE-ESO:ks,backward,left,87 ZV 16,Ks-Mehrabschnittssignal in östlicher Richtung,"zeigt Zs3 ""12"" für bevorstehende Fahrt Richtung Hauptbahnhof über Nordring; für Fahrt Richtung Charlottenburg sind beide Zusatzanzeiger dunkel",POINT (13.1996164 52.5340231)
node,81462699,DB InfraGO AG,signal,DE-ESO:ks,forward,right,87 N13,Ks-Mehrabschnittssignal als Ausfahrsignal in westlicher Richtung,"Zeigt Zs 3 ""10"" und Zs 2 ""U"" für Richtung Wustermark/Stendal sowie Zs 2 ""N"" für Richtung Nauen (Zs 3 dabei dunkel). Licht für verkürztem Bremsweg leuchtet nicht bei Fahrten Richtung Wustermark und Nauen ins Regelgleis",POINT (13.1926543 52.5354176)
node,81476405,,signal,DE-ESO:ks,backward,left,87 ZV 13,Ks-Mehrabschnittssignal in östlicher Richtung,trägt einen Zusatzanzeiger rechts unterhalb des Signalschirms,POINT (13.1997432 52.5342332)
node,81476429,,signal,DE-ESO:ks,forward,right,87 ZV 15,Zs 3 ist dunkel bei Fahrten auf dem Regelgleis Richtun Charlottenburg,Unknown,POINT (13.1996668 52.534102)
node,84256448,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1188,Unknown,Unknown,POINT (13.5081915 52.5139855)
node,84256456,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1182,Unknown,Unknown,POINT (13.5007537 52.5119024)
node,87839175,,signal,DE-ESO:ks,forward,right,285,Unknown,Unknown,POINT (13.363752 52.4734264)
node,94704198,DB InfraGO AG,signal,,forward,right,,Vorsignalbake Ne 3 mit 1 Streifen,Unknown,POINT (13.5636787 52.4195072)
node,94941335,,signal,,forward,overhead,,Unknown,Unknown,POINT (13.5654322 52.4561337)
node,102780449,DB InfraGO AG,signal,,backward,left,,Unknown,Zeigt Ks 1 mit Zs 2v und Zs 3v dunkel Fahrstraße Richtung 85 37 und weiter nach 86 A,POINT (13.2782247 52.5280858)
node,110027769,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2823947 52.5060363)
node,110088505,DB Netz AG,signal,DE-ESO:ks,forward,left,873,Unknown,Unknown,POINT (13.2833767 52.5015863)
node,110088532,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2852316 52.4995991)
node,110088601,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.2825134 52.5051668)
node,110088665,DB Netz AG,signal,DE-ESO:ks,forward,right,3013,Ks-Mehrabschnittssignal in südwestlicher Richtung,"Zeigt Zs 2 ""O"" mit Zs 3 ""5"" Richtung Olympiastadion; Zeigt Zs 2 ""G"" mit Zs 3 ""6"" Richtung Grunewald",POINT (13.2830481 52.5005455)
node,110124642,,signal,,backward,right,,Unknown,Unknown,POINT (13.2928458 52.4944217)
node,110418614,DB InfraGO AG,signal,DE-ESO:hl,forward,right,K,Unknown,Unknown,POINT (13.2825577 52.4990708)
node,110461572,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.2957494 52.4919413)
node,128376752,DB InfraGO AG,signal,,backward,left,V872,Unknown,Mastschild Gelbes Dreieck statt Ne 2,POINT (13.2830978 52.5069507)
node,128376778,DB InfraGO AG,signal,,backward,left,,Ks-Vorsignal in nordöstlicher Richtung rechts des Gleises,Unknown,POINT (13.2839036 52.5084413)
node,128376783,DB InfraGO AG,signal,DE-ESO:ks,forward,left,881,Unknown,Unknown,POINT (13.2840839 52.5083693)
node,128376793,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.2832594 52.5072165)
node,130101344,DB InfraGO AG,signal,DE-ESO:ks,forward,left,778,Unknown,Unknown,POINT (13.3656489 52.4748705)
node,151024525,DB InfraGO AG,signal,DE-ESO:ks,forward,right,911,Unknown,Unknown,POINT (13.2902274 52.5293154)
node,151024537,DB InfraGO AG,signal,DE-ESO:ks,forward,right,912,Unknown,Unknown,POINT (13.28902 52.5293114)
node,151026252,DB InfraGO AG,signal,DE-ESO:ks,backward,left,896,Unknown,Unknown,POINT (13.2847892 52.5173497)
node,151026258,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2839226 52.5182988)
node,154686612,DB InfraGO AG,signal,DE-ESO:ks,forward,right,887,Unknown,Unknown,POINT (13.2860143 52.5142566)
node,154701117,DB Netz AG,signal,,forward,right,817,Unknown,Unknown,POINT (13.28551 52.514805)
node,171777018,,signal,DE-BOStrab:h,forward,right,Ho A2,Unknown,Unknown,POINT (13.3912799 52.4977379)
node,171777021,,signal,DE-BOStrab:h,backward,right,Ho K2,Unknown,Unknown,POINT (13.3895258 52.4978728)
node,181316133,,signal,,forward,right,,Unknown,Unknown,POINT (13.2802907 52.4997249)
node,181317221,,signal,,backward,left,,Unknown,Unknown,POINT (13.2865012 52.501576)
node,181318254,,signal,,forward,right,,Unknown,Unknown,POINT (13.2867843 52.4983871)
node,226801109,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2796921 52.4962199)
node,226851800,,signal,,forward,right,,Unknown,Unknown,POINT (13.2800233 52.4978832)
node,237645827,,signal,,forward,right,,Unknown,Unknown,POINT (13.2806752 52.4980704)
node,237645838,,signal,,forward,right,,Unknown,Unknown,POINT (13.2802853 52.4979567)
node,244430174,,signal,DE-ESO:ks,forward,right,1630,Unknown,Unknown,POINT (13.4589021 52.4891246)
node,246763064,,signal,DE-ESO:ks,forward,right,8711,Unknown,Unknown,POINT (13.5592477 52.4214732)
node,246764679,,signal,,forward,right,,Unknown,Unknown,POINT (13.5585458 52.4183113)
node,248077114,,signal,,backward,right,,Unknown,Unknown,POINT (13.5631022 52.4289733)
node,248077323,,signal,DE-ESO:ks,forward,right,8811,Unknown,Unknown,POINT (13.5633854 52.4326957)
node,248077403,,signal,,backward,right,,Unknown,Unknown,POINT (13.5568476 52.4573965)
node,248077795,,signal,,forward,right,,Unknown,Unknown,POINT (13.3204599 52.6067643)
node,248084308,,signal,,both,right,,Unknown,Unknown,POINT (13.5515992 52.4636662)
node,248086109,DB InfraGO AG,signal,DE-ESO:ks,backward,left,1477,Unknown,Unknown,POINT (13.5553318 52.4681932)
node,249181870,,signal,DE-ESO:ks,forward,right,4040,Unknown,Unknown,POINT (13.3966719 52.560604)
node,249189074,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3805587 52.5460918)
node,249189078,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,486,Unknown,Unknown,POINT (13.3810852 52.5465059)
node,250058286,,signal,,backward,left,,Unknown,Unknown,POINT (13.2431877 52.5268631)
node,250058289,,signal,,forward,right,,Unknown,Unknown,POINT (13.241803 52.5271701)
node,250060499,DB InfraGO AG,signal,DE-ESO:ks,forward,right,85D,Ks-Mehrabschnittssignal als Einfahrsignal in nordwestlicher Richtung,Unknown,POINT (13.2368994 52.5283688)
node,250060509,DB InfraGO AG,signal,DE-ESO:ks,backward,left,85C,Unknown,Unknown,POINT (13.2368528 52.528334)
node,250060531,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.240467 52.5270593)
node,250060534,DB InfraGO AG,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.2366858 52.5282104)
node,250060539,DB InfraGO AG,signal,DE-ESO:ks,backward,left,86 A,Unknown,Unknown,POINT (13.2374855 52.5279256)
node,250136001,,signal,,forward,right,,Unknown,Unknown,POINT (13.230676 52.5286939)
node,250136039,,signal,,forward,right,,Unknown,Unknown,POINT (13.2307964 52.5287847)
node,251542482,,signal,,forward,right,,Unknown,Unknown,POINT (13.2888731 52.4969386)
